Unnamed: 0,author,statement,source,date,target,BinaryTarget,BinaryNumTarget,Fake,Real
951,Sara Swann,Suggests that “since mostly Democrats vote early” then that represents “made-up ballots or dead people voting.”,Instagram posts,"November 8, 2022",FALSE,FAKE,0,FAKE,
952,Jeff Cercone,"""They’re trying to rig the election again! Do not trust the Soros funded voting machines!!!”",Instagram posts,"November 8, 2022",FALSE,FAKE,0,FAKE,
953,Blake Farmer,"""Joe Biden and the New Left even promote surgery on teens and young adults, removing breasts and genitals.""",America First Legal,"November 8, 2022",FALSE,FAKE,0,FAKE,
954,Michael Majchrowicz,A German survey ranked Kyrie Irving as the “greatest threat to world peace” among world leaders.,Viral image,"November 8, 2022",pants-fire,FAKE,0,FAKE,
955,Paul Specht,"“Ted Budd voted to cut Medicare and Social Security and voted to raise the retirement age, too.”",Senate Majority PAC,"November 7, 2022",half-true,REAL,1,,REAL
956,Tom Kertscher,"In Georgia, it's ""illegal to give people water within 150 feet of a polling place"" and ""punishable by up to a year in prison.""",Liquid Death,"November 7, 2022",TRUE,REAL,1,,REAL
957,Yacob Reyes,"Sen. Marco Rubio ""helped write the law to raise prescription prices.""",Val Demings,"November 7, 2022",mostly-true,REAL,1,,REAL
958,Michael Majchrowicz,“DISGRUNTLED EX-EMPLOYEE? Twitter CEO Elon Musk's account is presently suspended.”,Instagram posts,"November 7, 2022",pants-fire,FAKE,0,FAKE,
959,Kristin Hugo,“There are no greenhouse gas emissions in this photo” of cows grazing.,Instagram posts,"November 7, 2022",FALSE,FAKE,0,FAKE,
960,Gabrielle Settles,California’s Proposition 1 includes “a right to abortion up-to-birth.”,Instagram posts,"November 7, 2022",barely-true,FAKE,0,FAKE,
961,Michael Majchrowicz,"“So the Pennsylvania Supreme Court just ruled, in effect, that the 2020 presidential election was rigged.”",Donald Trump,"November 7, 2022",pants-fire,FAKE,0,FAKE,
962,Andy Nguyen,"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week.""",Tucker Carlson,"November 7, 2022",FALSE,FAKE,0,FAKE,
963,Jill Terreri,"The state is absorbing the cost of overtime pay for farmworkers, and farm owners do not have to pay any more.",Kathy Hochul,"• November 5,",mostly-true,REAL,1,,REAL
964,Tom Kertscher,"“Kamala Harris said disaster aid should go to non-white citizens first.""",America First Legal,"November 5, 2022",FALSE,FAKE,0,FAKE,
965,Ciara O'Rourke,The attack on Paul Pelosi was a “false flag.”,Instagram posts,"November 5, 2022",pants-fire,FAKE,0,FAKE,
966,Michael Majchrowicz,"Photo shows Stanford scientists' ""3D model of how Joseph, the husband of Mary the Mother of Jesus Christ, might have looked.”",Instagram posts,"November 4, 2022",FALSE,FAKE,0,FAKE,
967,Jami Martin-Trainor,"Nancy Pelosi gave “$30,000 … to boost @LizMathis1’s campaign”",Ashley Hinson,"November 4, 2022",TRUE,REAL,1,,REAL
968,Michael Majchrowicz,"Speaker Nancy Pelosi held a T-shirt that reads, “I’m proud of my gay husband.”",Viral image,"November 4, 2022",pants-fire,FAKE,0,FAKE,
969,Ciara O'Rourke,Brazil’s presidential election was “stolen.”,Instagram posts,"November 4, 2022",FALSE,FAKE,0,FAKE,
970,Amy Sherman,Former President Jimmy Carter said “don’t ever use” mail in ballots because “they can be so easily corrupted.”,Donald Trump,"November 4, 2022",FALSE,FAKE,0,FAKE,
971,Louis Jacobson,The U.S. “could easily count every vote in every state on election night until a few years ago.”,Instagram posts,"November 4, 2022",barely-true,FAKE,0,FAKE,
972,Ciara O'Rourke,“Joe Biden announced to the world tonight that they are going to cheat by dumping ballots.”,Instagram posts,"November 4, 2022",pants-fire,FAKE,0,FAKE,
973,Ciara O'Rourke,The FBI took over the investigation into the attack on Paul Pelosi because San Francisco authorities weren’t sticking to Nancy Pelosi’s talking points.,Viral image,"November 4, 2022",FALSE,FAKE,0,FAKE,
974,Luiz Romero,"Brazil President Jair Bolsonaro will hold a press conference to “announce military audit of controversial election, may arrest criminal judges.”",Instagram posts,"November 4, 2022",FALSE,FAKE,0,FAKE,
975,Chad Bradley,David Schweikert has “been convicted of 11 House ethics violations.”,Jevin Hodge,"November 4, 2022",TRUE,REAL,1,,REAL
976,Warren Fiske,They were “never my comments” that a woman can’t get pregnant from rape.,Yesli Vega,"November 4, 2022",half-true,REAL,1,,REAL
977,Amy Sherman,“Two thirds of eligible voters don’t vote.”,Instagram posts,"November 4, 2022",FALSE,FAKE,0,FAKE,
978,Madeline Heim,"Tony Evers “wants to let out between 9,000 and 10,000 more” Wisconsin prisoners",Tim Michels,"November 4, 2022",FALSE,FAKE,0,FAKE,
979,Amy Sherman,“Pennsylvania is under a court order to count their ballots on election day and not after!!”,Facebook posts,"November 3, 2022",pants-fire,FAKE,0,FAKE,
980,Maria Ramirez,“Biden and Democrats have dismantled border security.”,Adam Laxalt,"• November 3,",FALSE,FAKE,0,FAKE,
981,Alexis Waiss,Katie Hobbs “has voted to double our gas tax.”,Kari Lake,"November 3, 2022",mostly-true,REAL,1,,REAL
982,Ciara O'Rourke,Reuters reported that Nancy Pelosi bought 10 million shares of cannabis stock.,Viral image,"November 3, 2022",FALSE,FAKE,0,FAKE,
983,Yacob Reyes,"It's not true that ""the United States was built on stolen land.""",Ron DeSantis,"November 3, 2022",pants-fire,FAKE,0,FAKE,
984,Ciara O'Rourke,The media reported on “5 TikTok dances you can do to help Ukraine fight Russia.”,Viral image,"November 3, 2022",FALSE,FAKE,0,FAKE,
985,Michael Majchrowicz,“Freedom of Information Act requests show a dozen phone calls between the cell phone of Ray Epps and the office of Speaker Pelosi in the week before #January6th”,Instagram posts,"November 3, 2022",FALSE,FAKE,0,FAKE,
986,Amy Sherman,"""Over 240,000 'unverified' ballots have already been sent out in Pennsylvania, a total mess. The Democrats are playing games again.”",Donald Trump,"November 3, 2022",FALSE,FAKE,0,FAKE,
987,Michael Majchrowicz,"Australian officials “are giving cows mRNA vaccines.""",Instagram posts,"November 3, 2022",FALSE,FAKE,0,FAKE,
988,Michael Majchrowicz,Thunderous crowd at Philadelphia Phillies game “literally registering on the Penn State University Brandywine seismograph station.”,Tweets,"November 3, 2022",pants-fire,FAKE,0,FAKE,
989,Ciara O'Rourke,CNN reported Donald Trump died on Nov. 1.,Viral image,"November 3, 2022",pants-fire,FAKE,0,FAKE,
990,Jon Greenberg,“J.D. Vance said nothing about” the attack on Paul Pelosi.,Tim Ryan,"November 3, 2022",FALSE,FAKE,0,FAKE,
991,Louis Jacobson,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",Citizens for Sanity,"November 3, 2022",pants-fire,FAKE,0,FAKE,
992,D.L. Davis,"Says ""Ron Johnson is making excuses for rioters who tried to overthrow our government, even calling them ‘peaceful protests.’”",Senate Majority PAC,"November 3, 2022",mostly-true,REAL,1,,REAL
993,Ciara O'Rourke,“Smithsonian admits to destruction of thousands of giant human skeletons in early 1900s.”,Viral image,"November 3, 2022",pants-fire,FAKE,0,FAKE,
994,Ciara O'Rourke,“Leaked audio tape of the 911 call from the Paul Pelosi attack has surfaced. The call proves that the liberal media has lied about what really happened.”,Viral image,"November 3, 2022",FALSE,FAKE,0,FAKE,
995,Tom Kertscher,"""Raphael Warnock and Stacey Abrams are radical communists and, if they get their way, gun owners here in Georgia will be completely disarmed.""",Georgia Gun Owners,"November 3, 2022",pants-fire,FAKE,0,FAKE,
996,Sydney Carruth,“We have seen over the last 10 years ... under Republican governors a rise in the murder rate in Arizona of 20%.”,Kris Mayes,"November 2, 2022",barely-true,FAKE,0,FAKE,
997,Alexis Waiss,"Abraham Hamadeh says he will “lock up doctors, nurses, pharmacists” and “punish women for abortion.”",Kris Mayes,"November 2, 2022",half-true,REAL,1,,REAL
998,Haley Tenore,"Said Katie Hobbs “fought to” “prevent students from learning (about) the Pledge of Allegiance, Constitution, Mayflower Compact and Declaration of Independence.”",Kari Lake,"November 2, 2022",FALSE,FAKE,0,FAKE,
999,Michael Majchrowicz,Julie Powell died from the COVID-19 vaccine.,Instagram posts,"November 2, 2022",FALSE,FAKE,0,FAKE,
1000,Louis Jacobson,"""On my watch, for the first time in 10 years, seniors are getting an increase in their Social Security checks.""",Joe Biden,"November 2, 2022",pants-fire,FAKE,0,FAKE,
1001,Andy Nguyen,"""PayPal has reinstated its policy to fine users $2,500 directly from their accounts if they spread 'misinformation.'""",Instagram posts,"November 2, 2022",FALSE,FAKE,0,FAKE,
1002,Ciara O'Rourke,“Two far-right websites attributed to David DePape to smear conservatives were fabricated — they were created Friday.”,Viral image,"November 2, 2022",pants-fire,FAKE,0,FAKE,
1003,Ciara O'Rourke,Bill Gates’ daughters aren’t vaccinated.,Viral image,"November 2, 2022",pants-fire,FAKE,0,FAKE,
1004,Ciara O'Rourke,"David DePape “stripped down to his underwear, grabbed a hammer, and jogged all the way to Nancy Pelosi’s house.”",Viral image,"November 2, 2022",FALSE,FAKE,0,FAKE,
1005,Ciara O'Rourke,House Speaker Nancy Pelosi “doesn’t even have surveillance cameras around her house.”,Viral image,"November 2, 2022",pants-fire,FAKE,0,FAKE,
1006,Dave Boucher,"If Proposal 3 passes, it would allow children to undergo ""gender-change therapy without parental consent""",Citizens to Support MI Women & Children,"November 2, 2022",FALSE,FAKE,0,FAKE,
1007,Gabrielle Settles,"At the Pelosi house, “the glass it seems was broken from the inside to the out, so it wasn’t a break-in, it was a breakout.”",Donald Trump,"November 2, 2022",pants-fire,FAKE,0,FAKE,
1008,Warren Fiske,“I don’t get involved in the hiring and firing of police chiefs.”,Levar Stoney,"November 2, 2022",FALSE,FAKE,0,FAKE,
1009,Maria Ramirez,“Marco Rubio le ha votado en contra a los Dreamers”.,Florida Immigrant Coalition,"• November 1,",half-true,REAL,1,,REAL
1010,Amy Sherman,“One in six local election officials have received threats of violence” and threats against judges have doubled over four years and threats against members of Congress have increased by 10 times over five years.,Amy Klobuchar,"November 1, 2022",mostly-true,REAL,1,,REAL
1011,Ciara O'Rourke,Police dispatch audio from Paul Pelosi’s attack was recorded in a Moscow studio.,Instagram posts,"November 1, 2022",pants-fire,FAKE,0,FAKE,
1012,Tom Kertscher,"Kari Lake and Mark Finchem “have said that they will only honor the results of an election if they agree with it.""",Liz Cheney,"November 1, 2022",mostly-true,REAL,1,,REAL
1013,Ciara O'Rourke,"Security cameras at Nancy Pelosi’s San Francisco home malfunctioned “for the duration of the break-in, so officials have ended their investigation.”",Viral image,"November 1, 2022",pants-fire,FAKE,0,FAKE,
1014,Michael Majchrowicz,"“If outer space was a vacuum, astronauts would train in vacuum chambers. Not in swimming pools. Outer Space is a hoax.”",Instagram posts,"November 1, 2022",pants-fire,FAKE,0,FAKE,
1015,Lawrence Andrea,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”,Ron Johnson,"November 1, 2022",barely-true,FAKE,0,FAKE,
1016,Tom Kertscher,"""Don Bolduc wants to cut trillions from Medicare and end Social Security.""",Maggie Hassan,"November 1, 2022",mostly-true,REAL,1,,REAL
1017,Sara Swann,Document shows Rebekah Jones “demonstrated” a violation of Florida’s Whistleblower Act.,Rebekah Jones,"November 1, 2022",FALSE,FAKE,0,FAKE,
1018,Andy Nguyen,"“If you use the US Postal Service certified mail or registered mail, they can do anything they want with those ballots."" They “can burn your mail and they won't get in any trouble.”",Instagram posts,"October 31, 2022",pants-fire,FAKE,0,FAKE,
1019,Ciara O'Rourke,A photo shows David DePape filming the Jan. 6 Capitol attack.,Viral image,"October 31, 2022",FALSE,FAKE,0,FAKE,
1020,Michael Majchrowicz,"California state Sen. Scott Wiener “doesn’t just want to sterilize California kids, but sterilization of kids everywhere!”",Instagram posts,"October 31, 2022",FALSE,FAKE,0,FAKE,
1021,Ciara O'Rourke,Hecklers chanted “f--- Joe Biden” during a Barack Obama speech.,Viral image,"October 31, 2022",FALSE,FAKE,0,FAKE,
1022,Ciara O'Rourke,The Pelosis “are refusing to turn over surveillance video of their home.”,Viral image,"October 31, 2022",FALSE,FAKE,0,FAKE,
1023,Gabrielle Settles,"Video shows Marjorie Taylor Greene planted pipe bombs at Republican and Democratic party headquarters on Jan. 5, 2021.",Instagram posts,"October 31, 2022",FALSE,FAKE,0,FAKE,
1024,Ciara O'Rourke,Video shows “military robots ready for war.”,Viral image,"October 31, 2022",FALSE,FAKE,0,FAKE,
1025,Louis Jacobson,“All Democrats in the Senate and House voted to cut $280 billion out of Medicare just two months ago.”,Rick Scott,"October 31, 2022",FALSE,FAKE,0,FAKE,
1026,Paul Specht,"Cheri Beasley “backs tax hikes — even on families making under $75,000.”",Senate Leadership Fund,"October 31, 2022",barely-true,FAKE,0,FAKE,
1027,Liam Halawith,"""Kim Reynolds doesn’t think nurses are educated.""",Deidre DeJear,"October 31, 2022",FALSE,FAKE,0,FAKE,
1028,Liam Halawith,"""Deidre DeJear refused to stand for police.""",Kim Reynolds,"October 31, 2022",half-true,REAL,1,,REAL
1029,Ben Wells,"Says Gov. Tony Evers would, “allow the government to use red flag laws to confiscate your firearms without due process.”",National Rifle Association,"October 31, 2022",barely-true,FAKE,0,FAKE,
1030,Amy Sherman,Rep. Tim Ryan “wanted to decriminalize fentanyl.”,J.D. Vance,"October 31, 2022",pants-fire,FAKE,0,FAKE,
1031,Madison Czopek,Pennsylvania drop boxes were “pre-loaded” with ballots.,Instagram posts,"October 28, 2022",half-true,REAL,1,,REAL
1032,Gabrielle Settles,"Arizona Secretary of State Katie Hobbs “sent 6,000 wrong ballots to Republicans.”",Instagram posts,"October 28, 2022",FALSE,FAKE,0,FAKE,
1033,Andy Nguyen,McDonald's uses potatoes sprayed with a highly toxic pesticide called Monitor.,Instagram posts,"October 28, 2022",FALSE,FAKE,0,FAKE,
1034,Ciara O'Rourke,Facebook changed its name because it is a “dead entity” whose assets were seized.,Viral image,"October 28, 2022",FALSE,FAKE,0,FAKE,
1035,Renee Romo,“Kids are resistant to COVID as opposed to older people.”,Tom Horne,"October 28, 2022",half-true,REAL,1,,REAL
1036,Yacob Reyes,"""Crime is up under Governor DeSantis. Crime was down when I was your governor.""",Charlie Crist,"October 28, 2022",barely-true,FAKE,0,FAKE,
1037,Louis Jacobson,Only Democratic cities take “‘days’ to count their votes” while “the rest of the country manages to get it done on election night.”,Ted Cruz,"October 28, 2022",barely-true,FAKE,0,FAKE,
1038,Louis Jacobson,The price of gas is “down from over $5 when I took office.”,Joe Biden,"October 28, 2022",FALSE,FAKE,0,FAKE,
1039,Jon Greenberg,Blake Masters “wants to privatize” Social Security.,Mark Kelly,"October 28, 2022",barely-true,FAKE,0,FAKE,
1040,Madison Czopek,"“It’s not that there is no evidence the election was stolen, but that no court had the guts to HEAR the evidence. They dismissed the cases, NOT the evidence.”",Instagram posts,"October 28, 2022",FALSE,FAKE,0,FAKE,
1041,Ciara O'Rourke,Former President Donald Trump issued an Oct. 27 statement saying he was told his Twitter account “will be back up and running on Monday.”,Viral image,"October 28, 2022",FALSE,FAKE,0,FAKE,
1042,Jon Greenberg,"The documentary “2,000 Mules proves” Democrats “cheated on the 2020 elections.”",Instagram posts,"October 28, 2022",FALSE,FAKE,0,FAKE,
1043,Ciara O'Rourke,A Phoenix TV station aired the election results more than a week early.,Instagram posts,"October 28, 2022",half-true,REAL,1,,REAL
1044,Andy Nguyen,"Connecticut ballot initiative on early voting would ""remove the requirement of a certified seal from certain ballots.""",Facebook posts,"October 27, 2022",FALSE,FAKE,0,FAKE,
1045,Ciara O'Rourke,DJ Mighty Mouse died because of a COVID-19 booster vaccine.,Instagram posts,"October 27, 2022",FALSE,FAKE,0,FAKE,
1046,Ciara O'Rourke,Photo shows a man who tortured his daughter’s rapist.,Viral image,"October 27, 2022",FALSE,FAKE,0,FAKE,
1047,Ciara O'Rourke,“PCR tests used to put luciferase in the brain.”,Viral image,"October 27, 2022",FALSE,FAKE,0,FAKE,
1048,Tom Kertscher,"Catherine Cortez Masto ""was the deciding vote” to send COVID-19 stimulus checks to more than 1 million prisoners.",Club for Growth Action,"October 27, 2022",barely-true,FAKE,0,FAKE,
1049,Jeff Cercone,Proposed Senate bill would give FDA power to approve dietary supplements and “ban herbs.”,Instagram posts,"October 27, 2022",FALSE,FAKE,0,FAKE,
1050,Ciara O'Rourke,"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",Viral image,"October 27, 2022",FALSE,FAKE,0,FAKE,
1051,Ciara O'Rourke,The COVID-19 vaccine caused Katy Perry’s eye to close during a recent show.,Instagram posts,"October 27, 2022",FALSE,FAKE,0,FAKE,
1052,Madison Czopek,"“El CDC está a punto de agregar la vacuna Co vid al calendario de vacunación infantil, lo que haría que la vacunación sea obligatoria para que los niños asistan a la escuela”.",Instagram posts,"October 27, 2022",barely-true,FAKE,0,FAKE,
1053,Michael Majchrowicz,"""Peer-reviewed paper"" shows ""Fauci created COVID-19""",Instagram posts,"October 27, 2022",pants-fire,FAKE,0,FAKE,
1054,Emily Oiler,“Carol Miller is a multi-millionaire worth over $16 million.”,West Virginia Democratic Party,"October 27, 2022",mostly-true,REAL,1,,REAL
1055,Andy Nguyen,Mailing in a ballot “gives the bad guys a chance to know how many ballots they need to make.”,Instagram posts,"October 27, 2022",pants-fire,FAKE,0,FAKE,
1056,Luiz Romero,“Ukraine has a nuclear bomb primed in Mykolaiv.”,Instagram posts,"October 27, 2022",FALSE,FAKE,0,FAKE,
1057,Maria Ramirez,Adam Laxalt is “anti-DACA” and “fought against the protections for DACA recipients when he was attorney general.”,Catherine Cortez Masto,"• October 26,",half-true,REAL,1,,REAL
1058,Madison Czopek,Ballots are “mailed unconstitutionally” to every voter in Colorado.,Instagram posts,"October 26, 2022",FALSE,FAKE,0,FAKE,
1059,Ciara O'Rourke,Video clips show staged war footage from Ukraine.,Viral image,"October 26, 2022",pants-fire,FAKE,0,FAKE,
1060,Andy Nguyen,The Bill & Melinda Gates Foundation pledged $200 million for digital IDs as part of a shift toward a “totalitarian society.”,Dan Bongino,"October 26, 2022",FALSE,FAKE,0,FAKE,
1061,Jeff Cercone,Today’s high food prices were planned during a 2015 food shortage simulation.,Instagram posts,"October 26, 2022",pants-fire,FAKE,0,FAKE,
1062,Gabrielle Settles,“Eagles fans shout F— Joe Biden while Jill Biden attends NFL game!”,Instagram posts,"October 26, 2022",pants-fire,FAKE,0,FAKE,
1063,Ciara O'Rourke,A video shows that a “Nuremberg 2.0 crimes against humanity trial starts Jan 2023.”,Instagram posts,"October 25, 2022",FALSE,FAKE,0,FAKE,
1064,Yacob Reyes,"Val Demings ""voted with Pelosi to raise taxes over $4,000 on Florida families.""",Marco Rubio,"October 25, 2022",barely-true,FAKE,0,FAKE,
1065,Paul Specht,Cheri Beasley was “encouraging (riots) all across our state and all across our country in 2020.”,Ted Budd,"October 25, 2022",FALSE,FAKE,0,FAKE,
1066,Amy Sherman,"In Arizona, early voting would allow Kari Lake’s opponents to see how many votes they “need to fake to catch up and surpass.”",Instagram posts,"October 25, 2022",pants-fire,FAKE,0,FAKE,
1067,Louis Jacobson,Student loan forgiveness is “passed. I got it passed by a vote or two. And it’s in effect.”,Joe Biden,"October 25, 2022",FALSE,FAKE,0,FAKE,
1068,Ciara O'Rourke,Video shows paratroopers crashing in Uganda.,Instagram posts,"October 25, 2022",FALSE,FAKE,0,FAKE,
1069,Ciara O'Rourke,“Wikileaks releases moon landing cut scenes filmed in the Nevada desert.”,Viral image,"October 25, 2022",FALSE,FAKE,0,FAKE,
1070,Sara Swann,"“Nancy Pelosi (purchased) 10,000 shares of Amgen, manufacturer of Nplate, a drug used to treat radiation sickness.”",Instagram posts,"October 25, 2022",FALSE,FAKE,0,FAKE,
1071,Kristin Hugo,"""When electric cars get in accidents, they explode, they catch fire very very badly because of the lithium batteries.”",Instagram posts,"October 25, 2022",FALSE,FAKE,0,FAKE,
1072,Kristin Hugo,"For climate change environmentalists, “not a single one of their predictions ever come true.”",Charlie Kirk,"October 25, 2022",FALSE,FAKE,0,FAKE,
1073,Jessica Riley,"“More than half of the $739 billion tax increase (in the Inflation Reduction Act) will go to wasteful Green New Deal programs like tree equity, 'clean' garbage trucks, and studying cow farts.""",Citizens Against Government Waste,"October 25, 2022",barely-true,FAKE,0,FAKE,
1074,Andy Nguyen,The diphtheria vaccine is a “poison dart” with side effects worse than the symptoms of diphtheria.,Instagram posts,"October 24, 2022",FALSE,FAKE,0,FAKE,
1075,Jeff Cercone,Bodybuilder died from the COVID-19 vaccine.,Instagram posts,"October 24, 2022",FALSE,FAKE,0,FAKE,
1076,Ciara O'Rourke,"A chyron on Sean Hannity’s show said, “Dr Oz admits he’s a medical quack.”",Viral image,"October 24, 2022",pants-fire,FAKE,0,FAKE,
1077,Ciara O'Rourke,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,Viral image,"October 24, 2022",FALSE,FAKE,0,FAKE,
1078,Paul Specht,Ted Budd “on four separate occasions voted against funding for police here in North Carolina to the tune of more than $32 million.”,Cheri Beasley,"October 24, 2022",barely-true,FAKE,0,FAKE,
1079,Ciara O'Rourke,There are no photos of “Biden in the Oval Office” from after early 2021.,Viral image,"October 24, 2022",pants-fire,FAKE,0,FAKE,
1080,D.L. Davis,"Says Tim Michels ""opposes closing the loophole that allows domestic abusers to buy guns.""",A Better Wisconsin Together,"October 24, 2022",TRUE,REAL,1,,REAL
1081,Jill Terreri,"New York state is outpacing the rest of the country, because shootings in New York are down 10%, and across the country the drop is only 2%.",Kathy Hochul,"• October 24,",half-true,REAL,1,,REAL
1082,Maria Ramirez,Suggests that an immigrant charged with sexually assaulting a child entered the U.S. illegally during the Biden administration.,Citizens for Sanity,"• October 21,",FALSE,FAKE,0,FAKE,
1083,Maria Ramirez,“Every single Senate Democrat voted against hiring more border agents. They voted against deporting felons. And they voted against ending catch and release.”,Citizens for Sanity,"• October 21,",barely-true,FAKE,0,FAKE,
1084,Jon Greenberg,Immigrants illegally in the country are treated “better than military veterans.”,Blake Masters,"October 21, 2022",FALSE,FAKE,0,FAKE,
1085,Louis Jacobson,"A House Republican plan says that if the GOP wins the majority, “Retirees who have a pension, IRAs, 401k, disabled veteran benefits will be ineligible for Social Security benefits.”",Instagram posts,"October 21, 2022",pants-fire,FAKE,0,FAKE,
1086,Ciara O'Rourke,Volodymyr Zelenskyy was photographed holding a soccer jersey with his name and a swastika.,Viral image,"October 21, 2022",FALSE,FAKE,0,FAKE,
1087,Ciara O'Rourke,It’s impossible for colloidal silver to turn you blue.,Viral image,"October 21, 2022",FALSE,FAKE,0,FAKE,
1088,Michael Majchrowicz,“Millions” of people from International Monetary Fund member countries are at risk of being placed in “COVID camps.”,Instagram posts,"October 21, 2022",FALSE,FAKE,0,FAKE,
1089,Madeline Heim,"If a 12-year-old girl became pregnant because of rape or incest, ""Tim Michels would force her to deliver the baby.""",Tony Evers,"October 21, 2022",mostly-true,REAL,1,,REAL
1090,Ciara O'Rourke,There were two shooters in the 2017 Las Vegas mass shooting.,Instagram posts,"October 20, 2022",FALSE,FAKE,0,FAKE,
1091,Tom Kertscher,"Mark Kelly ""voted to allow prison inmates to receive stimulus checks five separate times.""",Saving Arizona PAC,"October 20, 2022",barely-true,FAKE,0,FAKE,
1092,Ciara O'Rourke,Haitian singer Mikaben died because of the COVID-19 vaccine,Instagram posts,"October 20, 2022",FALSE,FAKE,0,FAKE,
1093,Ciara O'Rourke,"A video shows an actor “getting into character before his press interview less than 24 hours after the supposed killing of his 6-year-old daughter.""",Instagram posts,"October 20, 2022",pants-fire,FAKE,0,FAKE,
1094,Madison Czopek,"“The CDC is about to add the COVID vaccine to the childhood immunization schedule, which would make the vax mandatory for kids to attend school.”",Tucker Carlson,"October 20, 2022",barely-true,FAKE,0,FAKE,
1095,Ciara O'Rourke,"On Oct. 19, Donald Trump tweeted, “Thank you Elon Musk, I’m back!!!”",Viral image,"October 20, 2022",FALSE,FAKE,0,FAKE,
1096,Ciara O'Rourke,"There are “100,000 kids in cages” under the Getty art museum.",Viral image,"October 20, 2022",pants-fire,FAKE,0,FAKE,
1097,Jeff Cercone,“Boston University CREATES a new COVID strain that has an 80% kill rate.”,Instagram posts,"October 20, 2022",half-true,REAL,1,,REAL
1098,Ciara O'Rourke,Video shows “California sets their own forest fires and claims them as climate change effects.”,Instagram posts,"October 20, 2022",FALSE,FAKE,0,FAKE,
1099,Vanessa Swales,“Mandela Barnes came out in favor of abortion up until the moment of birth.”,National Republican Senatorial Committee,"October 20, 2022",barely-true,FAKE,0,FAKE,
1100,Ciara O'Rourke,An anti-vaccine activist documented intimidation tactics used against her the day before she was killed.,Viral image,"October 20, 2022",FALSE,FAKE,0,FAKE,
1101,Ciara O'Rourke,Video shows Hillary Clinton talking about a glass dome over the Earth.,Instagram posts,"October 19, 2022",pants-fire,FAKE,0,FAKE,
1102,Ciara O'Rourke,Video shows Dr. Anthony Fauci admitting “he failed Americans during the pandemic when unnecessarily forcing masks.”,Instagram posts,"October 19, 2022",FALSE,FAKE,0,FAKE,
1103,Ciara O'Rourke,Photo shows a taxi driver in New York City who “drives around taking people to kill.”,Viral image,"October 19, 2022",pants-fire,FAKE,0,FAKE,
1104,Yacob Reyes,"""When I was your governor, we reduced insurance rates by 10%.""",Charlie Crist,"October 19, 2022",mostly-true,REAL,1,,REAL
1105,Haley Tenore,"Electric vehicles are unaffordable because “the average cost of replacing an electric vehicle battery is over $10,000, while the average cost of replacing the battery of a gas-powered car is $100 to $200.”",Debbie Lesko,"October 19, 2022",barely-true,FAKE,0,FAKE,
1106,Andy Nguyen,Dark spots on potato chips are “infected with throat mold.”,Facebook posts,"October 19, 2022",pants-fire,FAKE,0,FAKE,
1107,Tom Kertscher,"A dog endured “unimaginable pain and suffering” during heart research experiments, “just one of 300 killed in (Dr. Mehmet) Oz’s lab.”",Senate Majority PAC,"October 19, 2022",half-true,REAL,1,,REAL
1108,Andy Nguyen,“California is registering non-citizens to vote and has refused to cooperate with the Federal Election Integrity Program.”,Facebook posts,"October 18, 2022",FALSE,FAKE,0,FAKE,
1109,Gabrielle Settles,"Suggests fentanyl, not Derek Chauvin, killed George Floyd",Kanye West,"October 18, 2022",FALSE,FAKE,0,FAKE,
1110,Ciara O'Rourke,"Kamala Harris said, “We have to acknowledge gas is high which is the opposite of low.”",Viral image,"October 18, 2022",FALSE,FAKE,0,FAKE,
1111,Ciara O'Rourke,“Trans species man who self-identifies as a deer accidentally shot by hunters.”,Viral image,"October 18, 2022",pants-fire,FAKE,0,FAKE,
1112,Alexis Waiss,"Abraham Hamadeh misled ""about his legal experience.”",Arizona Democratic Party,"October 18, 2022",half-true,REAL,1,,REAL
1113,Ciara O'Rourke,“Covid vaccinations now prohibited in people under 50 in Denmark.”,Viral image,"October 18, 2022",FALSE,FAKE,0,FAKE,
1114,Amanda Boring,“WV families making less than $400K & small businesses will NOT be targeted by the IRS.”,Joe Manchin,"October 18, 2022",mostly-true,REAL,1,,REAL
1115,Jasper Birmingham,"“Over the past 5 years, natural gas costs have gone up over 200%” in the United States.",Joe Manchin,"• October 18,",half-true,REAL,1,,REAL
1116,Warren Fiske,"Abigail Spanberger supported “nearly $1 billion in stimulus checks for prisoners, including domestic terrorists.”",National Republican Congressional Committee,"October 18, 2022",half-true,REAL,1,,REAL
1117,Madison Czopek,"Video footage showing Chuck Schumer and Nancy Pelosi hiding on Jan. 6, 2021, shows the U.S. Capitol attack “was a setup.”",Facebook posts,"October 17, 2022",FALSE,FAKE,0,FAKE,
1118,Jeff Cercone,There’s a “coincidental correlation” between COVID-19 vaccines and a spike in cancer in adults younger than 50.,Instagram posts,"October 17, 2022",FALSE,FAKE,0,FAKE,
1119,Ciara O'Rourke,Barack Obama said he walks with his “husband Michael and hold hands.”,Viral image,"October 17, 2022",pants-fire,FAKE,0,FAKE,
